0000	C0 controls
2C00	Glagolitic
2C00	Capital letters
2C30	Small letters
2C60	Latin Extended-C
2C60	Orthographic Latin additions
2C67	Additions for Uighur
2C6D	Miscellaneous additions
2C75	Claudian letters
2C77	Additions for UPA
2C7E	Additions for Shona
2C80	Coptic
2C80	Bohairic Coptic letters
2CB2	Old Coptic and dialect letters
2CDC	Old Nubian letters
2CE4	Symbols
2CEB	Cryptogrammic letters
2CEF	Combining marks
2CF2	Bohairic Coptic letters
2CF9	Old Nubian punctuation
2CFD	Numeric character
2CFE	Punctuation
2D00	Georgian Supplement
2D00	Small letters (Khutsuri)
2D27	Additional letter
2D2D	Additional letter for Ossetian
2D30	Tifinagh
2D30	Letters
2D6F	Modifier letter
2D70	Punctuation
2D7F	Sign
2D80	Ethiopic Extended
2D80	Syllables for Me'en
2D93	Syllables for Blin
2DA0	Syllables for Bench
2DC0	Syllables for Sebatbeit
2DE0	Cyrillic Extended-A
2DE0	Old Church Slavonic combining letters
2E00	Supplemental Punctuation
2E00	New Testament editorial symbols
2E0E	Ancient Greek textual symbols
2E17	Ancient Near-Eastern linguistic symbol
2E18	General punctuation
2E1A	Dictionary punctuation
2E1C	Brackets
2E1E	Dictionary punctuation
2E20	Brackets
2E22	Half brackets
2E26	Brackets
2E2A	Historic punctuation
2E32	Palaeotype transliteration symbol
2E33	Historic punctuation
2E35	Palaeotype transliteration symbols
2E3A	Dashes
2E3C	Alternate forms of punctuation
2E3F	Historic punctuation
2E40	Double hyphen
2E41	Reversed punctuation
2E43	Miscellaneous punctuation
2E45	Typicon punctuation
2E4A	Historic punctuation
2E55	Brackets
2E59	Parentheses top and bottom halves
2E5D	Oblique hyphen
2E80	CJK Radicals Supplement
2E80	CJK radicals supplement
2F00	Kangxi Radicals
2F00	Kangxi radicals
2FF0	Ideographic Description Characters
2FF0	Ideographic description characters
3000	CJK Symbols and Punctuation
3000	CJK symbols and punctuation
3008	CJK angle brackets
300C	CJK corner brackets
3010	CJK brackets
3012	CJK symbols
3014	CJK brackets
301C	CJK punctuation
3020	CJK symbol
3021	Suzhou numerals
302A	Combining tone marks
3030	Other CJK punctuation
3031	Kana repeat marks
3036	Other CJK symbols
3038	Additional Suzhou numerals
303B	Other CJK punctuation
303E	Special CJK indicators
3040	Hiragana
3041	Hiragana letters
3095	Small letters
3099	Voicing marks
309D	Iteration marks
309F	Hiragana digraph
30A0	Katakana
30A0	Katakana punctuation
30A1	Katakana letters
30FB	Conjunction and length marks
30FD	Iteration marks
30FF	Katakana digraph
3100	Bopomofo
3105	Based on GB 2312
312A	Dialect (non-Mandarin) letters
312D	Miscellaneous additions
3130	Hangul Compatibility Jamo
3131	Consonant letters
314F	Vowel letters
3164	Special character
3165	Old consonant letters
3187	Old vowel letters
3190	Kanbun
3190	Tateten
3191	Kaeriten
31A0	Bopomofo Extended
31A0	Extended Bopomofo for Minnan and Hakka
31B8	Extended Bopomofo for Hmu and Ge
31BB	Extended Bopomofo for Minnan and Hakka
31BC	Extended Bopomofo for Cantonese
31C0	CJK Strokes
31C0	CJK strokes
31EF	Ideographic description character
31F0	Katakana Phonetic Extensions
31F0	Phonetic extensions for Ainu
3200	Enclosed CJK Letters and Months
3200	Parenthesized Hangul letters
320E	Parenthesized Hangul syllables
321D	Parenthesized Korean words
3220	Parenthesized ideographs
3244	Circled ideographs from ARIB STD B24
3248	Circled numbers on black squares from ARIB STD B24
3250	Squared Latin abbreviation
3251	Circled numbers
3260	Circled Hangul letters
326E	Circled Hangul syllables
327C	Circled Korean words
327E	Circled Hangul syllable
327F	Symbol
3280	Circled ideographs
32B1	Circled numbers
32C0	Telegraph symbols for months
32CC	Squared Latin abbreviations
32D0	Circled Katakana
32FF	Japanese era name
3300	CJK Compatibility
3300	Squared Katakana words
3358	Telegraph symbols for hours
3371	Squared Latin abbreviations
337B	Japanese era names
337F	Japanese corporation
3380	Squared Latin abbreviations
3395	Abbreviations involving liter symbols
3399	Squared Latin abbreviations
33E0	Telegraph symbols for days
33FF	Squared Latin abbreviation
3400	CJK Unified Ideographs Extension A
4DC0	Yijing Hexagram Symbols
4DC0	Yijing hexagram symbols
4E00	CJK Unified Ideographs
A000	Yi Syllables
A000	Syllables
A015	Syllable iteration mark
A016	Syllables
A490	Yi Radicals
A490	Yi radicals
A4D0	Lisu
A4D0	Consonants
A4EE	Vowels
A4F8	Tones
A4FE	Punctuation
A500	Vai
A500	Syllables in -ee
A524	Syllables in -i
A549	Syllables in -a
A571	Syllables in -oo
A595	Syllables in -u
A5BA	Syllables in -o
A5E1	Syllables in -e
A60B	Syllable finals
A60D	Punctuation
A610	Historic syllables
A613	Logograms
A620	Digits
A62A	Historic syllables
A640	Cyrillic Extended-B
A640	Letters for Old Cyrillic
A66F	Abbreviation mark
A670	Combining numeric signs
A673	Punctuation mark
A674	Combining marks for Old Cyrillic
A67E	Punctuation mark
A67F	Modifier letter
A680	Letters for Old Abkhasian orthography
A698	Letters for Old Cyrillic
A69C	Intonation marks for Lithuanian dialectology
A69E	Combining marks for Old Cyrillic
A6A0	Bamum
A6A0	Syllables
A6F0	Combining marks
A6F2	Punctuation
A700	Modifier Tone Letters
A700	Corner tone marks for Chinese
A708	Dotted tone letters
A712	Left-stem tone letters
A717	Chinantec tone marks
A71B	Africanist tone letters
A720	Latin Extended-D
A720	Additions for UPA
A722	Egyptological additions
A726	Mayanist additions
A730	Medievalist additions
A779	Insular and Celticist letters
A788	Modifier letters
A78B	Orthographic letters for glottals
A78D	Additional letter
A78E	Phonetic symbol
A78F	Transliteration letter
A790	Additional letters
A794	Additions for Lithuanian dialectology
A796	Letters for Middle Vietnamese
A798	Archaic letters for Ewe
A79A	Archaic letters for Volapük
A7A0	Letters for pre-1921 Latvian orthography
A7AA	Additional letters
A7AE	Letter for West African languages
A7AF	Letter for Japanese phonemic transcription
A7B0	Letters for Americanist orthographies
A7B2	Letter for African languages
A7B3	Letter for German dialectology
A7B4	Letters for African languages
A7B8	Letters for Mazahua (Mexico)
A7BA	Letters for Ugaritic and Egyptological transliteration
A7C0	Additional medieval letters
A7C4	Letters used in early Pinyin romanization
A7C7	Additional letters for Gaulish
A7D0	Letters used in the Middle English Ormulum
A7D6	Letters used in medieval palaeography
A7F2	Modifier letters for Chatino (México)
A7F4	Modifier letter for Japanese phonemic transcription
A7F5	Ancient Gaulish and Celtic epigraphic letters
A7F8	Additions for Extended IPA
A7FA	Addition for UPA
A7FB	Ancient Roman epigraphic letters
A800	Syloti Nagri
A800	Independent vowels and dvisvara
A806	Sign
A807	Consonants and consonant signs
A823	Dependent vowel signs
A828	Poetry marks
A82C	Sign
A830	Common Indic Number Forms
A830	Number forms
A837	Miscellaneous sign
A838	Currency symbol
A839	Miscellaneous sign
A840	Phags-pa
A840	Consonants
A85D	Letter A
A85E	Vowels
A862	Consonants
A866	Vowel
A867	Subjoined consonants
A869	Consonant additions for Sanskrit
A86D	Alternate consonant forms for Chinese
A871	Subjoined consonant
A872	Consonant addition for Tibetan
A873	Candrabindu
A874	Head marks for Tibetan
A876	Punctuation for Tibetan
A880	Saurashtra
A880	Various signs
A882	Independent vowels
A892	Consonants
A8B5	Dependent vowel signs
A8C4	Virama
A8C5	Sign
A8CE	Punctuation
A8D0	Digits
A8E0	Devanagari Extended
A8E0	Cantillation marks (svara) for the Samaveda
A8F2	Marks of nasalization
A8F8	Editorial marks
A8FC	Signs
A8FE	Additional vowel and vowel sign
A900	Kayah Li
A900	Digits
A90A	Consonants
A922	Vowels
A92B	Tone marks
A92E	Punctuation
A930	Rejang
A930	Consonants
A947	Vowel signs
A94F	Consonant signs
A953	Virama
A95F	Punctuation
A960	Hangul Jamo Extended-A
A960	Old initial consonants
A980	Javanese
A980	Various signs
A984	Letters
A9B3	Sign
A9B4	Dependent vowel signs
A9BD	Dependent consonant signs
A9C0	Sign
A9C1	Punctuation
A9CF	Syllable reduplicator
A9D0	Digits
A9DE	Ellipsis marks
A9E0	Myanmar Extended-B
A9E0	Additions for Shan Pali
A9E6	Reduplication mark
A9E7	Tai Laing consonants
A9F0	Tai Laing digits
A9FA	Tai Laing consonants
AA00	Cham
AA00	Independent vowels
AA06	Consonants
AA29	Dependent vowel signs
AA33	Consonant signs
AA40	Final consonants
AA50	Digits
AA5C	Punctuation
AA60	Myanmar Extended-A
AA60	Khamti Shan consonants
AA74	Khamti Shan logograms
AA77	Aiton symbols and letters
AA7B	Pa'o Karen tone mark
AA7C	Tai Laing tone marks
AA7E	Shwe Palaung letters
AA80	Tai Viet
AA80	Consonants
AAB0	Vowels and finals
AABF	Tones
AADB	Word ligature symbols
AADD	Repetition mark
AADE	Punctuation
AAE0	Meetei Mayek Extensions
AAE0	Independent vowel signs
AAE2	Consonants
AAEB	Dependent vowel signs
AAF0	Punctuation
AAF2	Sign
AAF3	Repetition marks
AAF5	Sign
AAF6	Virama
AB00	Ethiopic Extended-A
AB01	Gamo-Gofa-Dawro and Basketo
AB11	Gamo-Gofa-Dawro
AB20	Gumuz
AB30	Latin Extended-E
AB30	Letters for German dialectology
AB5B	Modifier letters for German dialectology
AB60	Historic letters for Sakha (Yakut)
AB64	Letters for Americanist orthographies
AB66	Letters for Sinological transcription
AB68	Letters for Scots dialectology
AB70	Cherokee Supplement
AB70	Lowercase syllables
ABC0	Meetei Mayek
ABC0	Letters
ABDB	Final consonants
ABE3	Dependent vowel signs
ABEB	Punctuation
ABF0	Digits
AC00	Hangul Syllables
D7B0	Hangul Jamo Extended-B
D7B0	Old medial vowels
D7CB	Old final consonants
D800	High Surrogates
DB80	High Private Use Surrogates
DC00	Low Surrogates
E000	Private Use Area
F900	CJK Compatibility Ideographs
F900	Pronunciation variants from KS X 1001:1998
FA0C	Duplicate characters from Big 5
FA0E	The IBM 32 compatibility ideographs
FA2E	Korean compatibility ideographs
FA30	JIS X 0213 compatibility ideographs
FA6B	ARIB compatibility ideographs
FA70	DPRK compatibility ideographs
FB00	Alphabetic Presentation Forms
FB00	Latin ligatures
FB13	Armenian ligatures
FB1D	Hebrew presentation forms
FB50	Arabic Presentation Forms-A
FB50	Glyphs for contextual forms of letters for Persian, Urdu, Sindhi, etc.
FBB2	Arabic pedagogical symbols
FBD3	Glyphs for contextual forms of letters for Central Asian languages
FBEA	Ligatures (two elements)
FD3E	Punctuation
FD40	Honorific word ligatures
FD50	Ligatures (three elements)
FDCF	Honorific word ligature
FDD0	Noncharacters
FDF0	Word ligatures
FDFC	Currency symbol
FDFD	Honorific word ligatures
FE00	Variation Selectors
FE00	Variation selectors
FE0E	Emoji-specific variation selectors
FE10	Vertical Forms
FE10	Glyphs for vertical variants
FE20	Combining Half Marks
FE20	Combining half marks
FE24	Continuous macrons for Coptic
FE27	Combining half marks below
FE2E	Combining half marks
FE30	CJK Compatibility Forms
FE30	Glyphs for vertical variants
FE45	Sidelining emphasis marks
FE47	Glyphs for vertical variants
FE49	Overscores and underscores
FE50	Small Form Variants
FE50	Small form variants
FE70	Arabic Presentation Forms-B
FE70	Glyphs for spacing forms of Arabic points
FE73	Glyph part
FE74	Glyphs for spacing forms of Arabic points
FE80	Basic glyphs for Arabic language contextual forms
FEFF	Special
FF00	Halfwidth and Fullwidth Forms
FF01	Fullwidth ASCII variants
FF5F	Fullwidth brackets
FF61	Halfwidth CJK punctuation
FF65	Halfwidth Katakana variants
FFA0	Halfwidth Hangul variants
FFE0	Fullwidth symbol variants
FFE8	Halfwidth symbol variants
FFF0	Specials
